Table 1 and 2 from paper combined - alphabetical order by dataset or data repository name,,,,,,,
,,,,,,,
Datasets,Research Area,Modality,Link,Access,Data Origin,Region,Note
dbGaP,General health and other diseases,Longitudinal omics data (genotype-phenotype),https://dbgap.ncbi.nlm.nih.gov/beta/home,Request access,US,AMRO,Database of genotype-phenotype. Needs quite a lot of paperwork to get access. This database holds data from various studies. Eg. Women's health initiative (mentioned above) and California Teachers Study (CTS): Whole Genome Sequences From Under-Represented Populations
Dementias Platform UK (DPUK),Dementia,"Omics (genomic), imaging (MRI, PET), Clinical (GP records)",https://portal.dementiasplatform.uk/,Request access,UK,EURO,
Diabetes 130-US hospitals for years 1999-2008,Metabolic and endocrine health,Clinical,https://archive.ics.uci.edu/dataset/296/diabetes+130-us+hospitals+for+years+1999-2008,Open access,US,AMRO,
Discover-NOW,General health,Clinical (GP records),https://discover-now.co.uk/,Request access,UK,EURO,
Estonian Biobank,"General health, biobank",Omics,https://genomics.ut.ee/en/content/estonian-biobank,Request access,Estonia,EURO,Biobank of Estonia. Mostly genomic array with some WGS and other omics. (There is an application cost on top of compute cost.)
European Genome-Phenome Archive (EGA),Cancer-related and other diseases,Omics data (genotype-phenotype),https://ega-archive.org/,Request access,several countries (especially EU and Africa?),Global,It's like the EU equivalent of dbGaP. Seems easier to get access. eg. Breast Cancer in very young women https://ega-archive.org/studies/EGAS00001001908
European Nucleotide Archive (ENA),Cancer-related and other diseases,"Omics (sequencing, genomics and transcriptomics)",https://www.ebi.ac.uk/ena/browser/home,Open access,global,Global,
Fingenious,"Cancer-related, general health biobank","Omics, health data, imaging data",https://app.fingenious.fi/cohorts,Request access,Finland,EURO,
GDM Dataset,Maternal health,Clinical,https://figshare.com/articles/dataset/GDM_Dataset_xlsx/21806472/1?file=38695140,Open access,UK,EURO,"retrospective dataset of 16,651 pregnancies monitored at St. Mary’s Hospital, London"
Generation Scotland,"General health, biobank","Omics, clinical data",https://genscot.ed.ac.uk/,Request access,UK,EURO,"Genomics, epigenomics, metabolomics and proteomics of Scottish population (~20K individuals)."
Genes & Health,"General health, biobank","Omics, health data",https://www.genesandhealth.org/,Request access,UK,EURO,Focused on British-Pakistani and -Bangladeshi communities.
Genomics England,"Rare diseases and cancer-related, biobank","Omics, clinical data",https://www.genomicsengland.co.uk/research/data,Request access,UK,EURO,"Various datasets: 100K Genomes, NHS Genomic Medicine Services. Both for rare disease and cancer research. Working on new datasets such as multimodal for cancer. The current omic data is not available to all, only for pilot studies."
GEO datasets,Cancer-related and other diseases,Omics (transcriptomics and genomics),https://www.ncbi.nlm.nih.gov/gds/,Open access,global,Global,"curated gene expression DataSets, as well as original Series and Platform records in the Gene Expression Omnibus (GEO) repository. (Eg. Intergrative Multi-Omics of Asian Pregnant Mother https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182409)"
GTEx,Cancer-related and other diseases,"Omics (transcriptomics), histology (genomics + phenotypes with restricted access).",https://www.gtexportal.org/home/aboutAdultGtex,Open access,US,AMRO,Heavily used resource for normal tissue gene expression - 233 of 714 tissues from women.
HC18 Challenge,Maternal and fetal health,Imaging (ultrasound images),https://zenodo.org/records/1327317,Open access,Netherlands,EURO,
Health Data Research UK (HDRUK),"General health, cancer-related and other diseases","Clinical, omics (transcriptomics, genomics), imaging (MRI), and others (Statistics)",https://healthdatagateway.org/en,Request access,UK,EURO,"This data repository includes lots of diseases (e.g., breast, ovarian and acute presentation of pregnant women)"
Healthy and sustainable places data service,Lifestyle,Lifestyle and others (statistic),https://data.hasp.ac.uk/browser/landing,Open access,UK,EURO,
Heart Disease (UCI machine learning repository),Cardiovascular,Clinical (various),https://archive.ics.uci.edu/dataset/45/heart+disease,Open access,"Several countries (US, Hungary, Switzerland)",EURO; AMRO,
Heart failure clinical records,Cardiovascular,Clinical (various),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0181001,Open access,Pakistan,EMR,
Human Metabolome Database (HMBD),Other diseases,Omics (metabolomics),https://hmdb.ca/,Open access,global,Global,Database of human metabolome studies.
Human protein atlas,Cancer-related and other diseases,"Omics (transcriptomics, proteomics)",https://www.proteinatlas.org/,Open access,global,Global,"Gene expression, protein abundance of tissues, cell lines, in healthy and disease human samples."
Indian Institute of Science Fetal Heart Sound Database (IIScFHSDB),Maternal and fetal health,Fetal phonocardiography,https://physionet.org/content/fetalheartsounddata/1.0/,Open access,India,SEAR,small dataset (60 subjects)
Intelligent detection for PCOS dataset,Metabolic and endocrine health,Clinical,https://www.sciencedirect.com/science/article/pii/S030372072030441X?casa_token=bRD_OHd1yooAAAAA:jCMPpVBl3I3UHDurieav-Aw45XGICJD5BuvnRCH1QadBt7susBow2ntgg13iCJHbTg7IfCHz#abs0015,Open access,China,WPRO,
Irish Hip Fracture Database (IFHD) & metabolic and endocrine health,Metabolic and endocrine health,Clinical,https://www.noca.ie/audits/irish-hip-fracture-database/,Request access,Ireland,EURO,
LivWell,Lifestyle,Demographic and socio-economic data,https://zenodo.org/records/7277104,Open access,global,Global,"Global longitudinal dataset which includes a set of key indicators on women’s socio-
economic status, health and well-being, access to basic services and demographic
outcomes"
Maternal health and high-risk pregnancy dataset,Maternal health,Clinical,https://ieee-dataport.org/documents/maternal-health-and-high-risk-pregnancy-dataset,Request Access,Bangladesh ,SEAR,"include mother’s age, gravida (number of pregnancies), weight, height, blood pressure, gestational age, and fetal health status."
Maternal health risk,Maternal health,Clinical,https://archive.ics.uci.edu/dataset/863/maternal+health+risk,Open access,Bangladesh,SEAR,
Maternal mental health symptom profiles,Maternal mental health,Sociodemographic and clinical data,https://zenodo.org/records/5070945,Open access,Switzerland,EURO,"410 mothers, aim to exploratory obtain maternal mental health symptom profiles"
"MIDRC (NIH, USA)",COVID-19,"Medical imaging data (MRI, X-ray)",https://www.midrc.org/,Request Access,US,AMRO,"Repository for medical images related to COVID-19 and clinical data for development of medical image based AI for use in detection, diagnosis, prognosis and monitoring of COVID-19."
MIMIC-III,Critical care,"Clinical (Patient demographics, clinical notes; procedure and diagnosis data (i.e ICD-9 coded data); patient outcome data (length of stay, etc.)), imaging reports; physiological (i.e. vital signs, lab reports); medication (i.e. prescriptions and administration details);",https://mimic.mit.edu/,Request Access,US,AMRO,De-identified health data for patients admitted to critical care at large tertiary care hospitals.
MIMIC-IV,Critical care,Same as MIMIC-III,https://mimic.mit.edu/,Request Access,US,AMRO,"Updated MIMIC-III includes increased data from previously 40,000 admissions to 523,740 admissions, electronic medication records, improved data structure including module (hospital, ICU, note, etc.), wider range of healthcare applications and research."
MRC CBU openly available datasets resource,Neurology,"Imaging (MRI, fMRI), EEG, behavioural (eye-tracking)",https://imaging.mrc-cbu.cam.ac.uk/methods/OpenDatasets,Open access/request access,global,Global,
Multi-Modality Ovarian Tumor Ultrasound (MMOTU) image dataset,"Cancer-related, gynaecology, ultrasonography",Imaging (2D transvaginal ultrasound images),https://github.com/cv516Buaa/MMOTU_DS2Net,Open access,China,WPR,"1469 2d ultrasound images and 170 contrast enhanced ultrasonography (CEUS) images with pixel-wise and global-wise annotations. Specifically designed for Unsupervised Cross-Domain Semantic Segmentation. See article: 
 https://doi.org/10.48550/arXiv.2207.06799"
National library of medicine (NCBI),Cancer-related and other diseases,"Omics (transcriptomics, genomics and proteomics)",https://www.ncbi.nlm.nih.gov/,Open access,US,AMRO,
NHS England digital,"Cancer-related and other diseases, gynaecology","Imaging (MRI, CT, X-ray) and clinical (GP records and patient information)",https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-sets,Request access,UK,EURO,"National data sets collect information from care records, systems and organisations. This is used to inform policy and monitor, and improve care. This data repository includes many diseases ( based on diagnosis code) and some specific topic to women (e.g., Female Genital Mutilation datasets)"
Nightingale open science ,Cancer-related and other diseases,Imaging (microscopy),https://docs.ngsci.org/,Request access,US,AMRO,
NIMH Data Archive (NDA),Mental health,"Clinical, omics and neuro-signal recordings (EEG and EGG) ",https://www.nimh.nih.gov/,Request access,US,AMRO,"A centralised repository for US-funded mental health studies, including adolescent and adult datasets"
OMI-DB,Cancer-related,Imaging (Mammography),https://medphys.royalsurrey.nhs.uk/omidb/,Request access,UK,EURO,Mammography imaging database (~750k)
OpenNeuro,Neurology,"Imaging (MRI, PET), EEG",https://openneuro.org/,Open access,US,AMRO,
OpenSafely,General health,"Clinical (GP records, hospital records)",https://www.opensafely.org/,Request access,UK,EURO,
OrbiGenAI - maternity care modeling,Maternal and fetal health,"Demographic, Clinical, Others (statistic)",https://github.com/OrbiGenAI-Innovations-Lab/Maternity-Care-Modeling-Predicting-Pregnancy-Outcomes-and-Mode-of-Delivery,Open access,India,SEAR,"data repository includes several datasets to predict pregnancy outcomes (e.g., complications) using machine learning and deep learning techniques"
Our Future Health,"General health, biobank","Genotype, linked clinical records, health data",https://research.ourfuturehealth.org.uk/,Request access,UK,EURO,"UK based biobank with a wider range of participant age than UK biobank, and more focus on diverse ethnic backgrounds."
PhysioNet,"Cardiology, Neurology",ECG and EEG,https://physionet.org/about/database/,Open access,US,AMRO,"about physiological signals. This data repository includes several smaller datasets, which has up to 150-160 female records (~50% total records)"
PhysioNet - noninvasive fetal ECG,Maternal and fetal health,ECG,https://physionet.org/content/nifeadb/1.0.0/,Open access,US,AMRO,
Pima Indians diabetes database,Metabolic and endocrine health,Clinical,https://www.kaggle.com/datasets/uciml/pima-indians-diabetes-database/data}{Pima Indians Diabetes Database,Open access,US,EURO,
Pioneer,Cancer-related and other diseases,Clinical records,https://www.pioneerdatahub.co.uk/,Request access,UK,EURO,
Postnatal maternal depression dataset in South African community cohort,Maternal mental health,Sociodemographic,https://zenodo.org/records/7131914,Open access,US and South Africa,AMRO; AFR,"Small dataset with around 80 participant, South African cohort, the study investigated associations between adverse maternal experiences with postnatal maternal depression and child social-emotional outcomes"
PREdiction of Clinical Outcomes from Genomic profiles (PRECOG),Cancer-related and other diseases,Omics (genomic profiles) and clinical outcomes,https://precog.stanford.edu/,Open access,USA,AMRO,"Genomic profiles and clinical outcomes of many disease including breast and ovarian cancer (data deposited in GEO, mentioned below)"
PRIDE / Proteomics Identifications Database,"General health, cancer-related and other diseases",Omics (proteomics),https://www.ebi.ac.uk/pride/,Open access,global,Global,Repository of proteomic studies (eg.A disease of metabolism: Defining lipedema’s molecular hallmarks by multi-omics approach for disease prediction https://www.ebi.ac.uk/pride/archive/projects/PXD058489 )
QResearch,Menopause,Clinical and laboratory test data,https://www.qresearch.org/data/,Request access,UK,EURO,"captures menopause-related consultations and prescriptions, enabling large-scale observational studies of menopausal symptom management and associated risks"
Reproductive cell atlas,"General health, cancer-related and other diseases",Omics (single-cell omics data),https://www.reproductivecellatlas.org/index.html,Open access,UK,EURO,Derived from this paper https://pmc.ncbi.nlm.nih.gov/articles/PMC11387200/ - Vento's lab works a lot on women's health https://ventolab.org/
Roadmap epigenomics project,Cancer-related and other diseases,Omics (epigenomic),https://egg2.wustl.edu/roadmap/web_portal/index.html,Open access,USA,AMRO,Reference human epigenomic samples (has sex-specific samples and tissue sampes)
SAIL databank ,General health,Clinical and others (statistic),https://saildatabank.com/,Request access,UK,EURO,
SEER breast cancer Data,Cancer-related,"Clinical, Other (statistic)","https://ieee-dataport.org/open-access/seer-breast-cancer-data, https://seer.cancer.gov/",Open access,US,AMRO,"SEER Program of the NCI,"
Single cell expression atlas,Cancer-related and other diseases,Omics (single-cell expression data),https://www.ebi.ac.uk/gxa/sc/home,Open access,UK,EURO,Single cell gene expression across species
SNAP:EPICCS2,Critical care,Clinical data,https://www.rcoa.ac.uk/snap-2-epiccs-patient-information,Request Access,UK,EURO,"Examines provision of critical care after surgery, epidemiology of perioperative risk, outcomes and critical care after inpatient surgery in the UK."
Study of women's health across the nation,Menopause,"Demographics, lifestyle, psychosocial, health outcomes and etc",https://www.swanstudy.org/swan-research/data-access/,Request access,USA,AMRO,"longitudinal data on hormonal changes, menopausal symptoms, and health outcomes in midlife women"
The Cancer Genome Atlas Program (TCGA),Cancer-related,"Imaging (CT, H&E imaging), omics (transcriptomics, genomics, proteomics), clinical data",https://www.cancer.gov/ccg/research/genome-sequencing/tcga,Open access,USA,AMRO,
The Cancer Imaging Archive (TCIA),Cancer-related,"Imaging (CT, PET), omics (transcriptomics, genomics), clinical data",https://www.cancerimagingarchive.net/,Open access,USA,AMRO,
The Health Improvement Network (THIN),General health,Clinical data (electronic health records),https://www.the-health-improvement-network.com/de/,Request access,"UK, France, Italy, Spain, Belgium, Romania",EURO,"electronic health record database from general practices, including information on symptoms, diagnoses, prescriptions, and lab results, often used in women’s health studies"
The metabolomics workbench,"Maternal health, gynaecology",Omics (metabolomics),https://www.metabolomicsworkbench.org/,Open access,USA,AMRO,Similar to HMBD. (eg. Multiomics Longitudinal Modeling of Preeclamptic Pregnancies (part I) https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyType=&StudyID=ST001889 )
The million women study,Lifestyle,Lifestyle,https://www.ceu.ox.ac.uk/research/the-million-women-study/about-the-study,Request access,UK,EURO,"Investigates the effects of medications and behaviours on the risk of women
developing diseases"
UKBiobank,"General health, biobank","Omics, multimodal (ECGs, MRIs, etc), activity monitor, health data",https://www.ukbiobank.ac.uk/,Request access,UK,EURO,"Can also be used to study women-only conditions or sex-specifc features of conditions. ~273k women, although mostly white-British."
UNICEF data,Maternal and fetal health,"Demographic, Others (statistic)",https://data.unicef.org/resources/dataset/maternal-health-data/,Open access,Internaitonal,Global,
USOVA3D annotated 3D ovarian ultrasound images,"Gynacology, ultrasonography",Imaging (3D transvaginal ultrasound volumes),https://usova3d.um.si/wordpress/,Request access,slovenia,EURO,created for the impartial validation of ovarian follicle detection procedures in 3D ultrasound images of ovaries see article: https://doi.org/10.1016/j.cmpb.2020.105621
UterUS annotated dataset of uteri in volumetric ultrasound data,"Gynacology, ultrasonography",Imaging (3D transvaginal ultrasound volumes),https://github.com/UL-FRI-LGM/UterUS,Open access,several EU countries (not one in particular),EURO,"Made for Automatic Segmentation and Alignment of Uterine Shapes from 3D Ultrasound Data with manual annotations
 see article: 10.1016/j.compbiomed.2024.108794"
WHO,"Maternal health, cancer-related","Demographic, others (statistic)",https://platform.who.int/data/maternal-newborn-child-adolescent-ageing,Open access,global,Global,national policy and social economic
Women's health initiative,"General health, other diseases","Omics (metabolomics, epigenomics, proteomics, and transcriptomics )",https://www.whi.org/md/working-with-whi-data,Request access,US,AMRO,Trans-Omics for Precision Medicine - longstanding project. Its data is deposited in the data repos mentioned below.
World bank open data,Lifestyle,Others (statistic),https://data360.worldbank.org/en/people,Open access,global,Global,"People: Investing in people through education, health, social protection, and gender
equality"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Abbreviation List: CT: Computed Tomography, ECG: Electrocardiogram, EEG: Electroencephalogram, fMRI: Functional Magnetic Resonance Imaging, GP: General Practitioner, H&E: Hematoxylin and Eosin, ICD-9: International Classification of Diseases, 9th Revision, MRI: Magnetic Resonance Imaging, PET: Positron Emission Tomography.",,,,,,,
"The WHO region abbreviations used in the table correspond to the African (AFR), Americas (AMRO), Eastern Mediterranean (EMR), European (EURO), Western Pacific Region (WPRO), and South-East Asia (SEAR), with Global indicating data sources with multiple regions",,,,,,,
